_id,Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source,continent_name,wage_span,median_salary,Avg Salary,lowest_salary,highest_salary
6578cd8bbc6190354d98f97b,Saint Martin (French part),113,74,2809,13,487,26,972,Low Confidence,663,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2086,,,,,,
6578cd8bbc6190354d98f97c,Saint Vincent and the Grenadines,116,72,8011,16,1730,28,3058,Very Low Confidence,670,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2087,Caribbean,Monthly,1144.44,1262.96,318.52,5629.63
6578cd8bbc6190354d98f97d,Samoa,120,76,14923,16,3083,28,5449,Very Low Confidence,882,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2135,Oceania,Monthly,808.66,884.48,223.83,3935.02
6578cd8bbc6190354d98f97e,San Marino,123,84,2857,13,434,26,867,Low Confidence,674,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2172,Europe,Monthly,4450.32,4820.3,1215.64,21458.77
6578cd8bbc6190354d98f97f,Sao Tome and Principe,144,100,21422,16,3364,28,5947,Very Low Confidence,678,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2215,Africa,Monthly,254.88163,298.78264,75.441552,1329.8172
6578cd8bbc6190354d98f980,Saudi Arabia,151,105,3594080,20,673502,26,876260,High Confidence,682,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2239,Asia,Monthly,3840.0,4480.0,1128.0,19893.33
6578cd8bbc6190354d98f981,Senegal,144,100,1622980,16,254879,28,450564,Very Low Confidence,686,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2216,Africa,Monthly,493.08,565.59,142.77,2513.74
6578cd8bbc6190354d98f982,Serbia,105,83,726196,16,137199,6,52633,Very Low Confidence,688,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2173,Europe,Monthly,1120.04,1273.6,320.66,5654.41
6578cd8bbc6190354d98f983,Seychelles,132,93,9128,13,1252,26,2498,Low Confidence,690,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2217,Africa,Monthly,1246.44,1403.13,353.99,6246.44
6578cd8bbc6190354d98f984,Sierra Leone,147,103,802371,16,122200,28,216020,Very Low Confidence,694,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2218,Africa,Monthly,249.1,277.75,69.92,1238.23
6578cd8bbc6190354d98f985,Singapore,119,80,465355,13,74361,26,148418,Low Confidence,702,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2147,Asia,Monthly,5647.06,6235.29,1573.53,27720.59
6578cd8bbc6190354d98f986,Sint Maarten (Dutch part),113,74,3134,13,543,26,1084,Low Confidence,534,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2088,,,,,,
6578cd8bbc6190354d98f987,Slovakia,109,70,381273,13,69911,26,139538,Low Confidence,703,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2043,Europe,Monthly,2114.16,2315.01,581.4,10295.98
6578cd8bbc6190354d98f988,Slovenia,61,34,71107,7,13910,20,41741,Medium Confidence,705,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2174,Europe,Monthly,1934.46,2093.02,528.54,9302.33
6578cd8bbc6190354d98f989,Solomon Islands,135,91,60963,16,10476,28,18519,Very Low Confidence,90,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2098,Oceania,Monthly,644.89,756.53,191.21,3361.05
6578cd8bbc6190354d98f98a,Somalia,147,103,1585898,16,241530,28,426966,Very Low Confidence,706,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2219,Africa,Monthly,392.16,455.19,114.85,2030.85
6578cd8bbc6190354d98f98b,South Africa,84,40,2329228,16,915865,28,1619024,Very Low Confidence,710,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2220,Africa,Monthly,1441.44,1658.72,417.59,7366.19
6578cd8bbc6190354d98f98c,South Sudan,147,103,1136015,16,173014,28,305846,Very Low Confidence,728,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2221,,,,,,
6578cd8bbc6190354d98f98d,Spain,116,77,3613954,13,598760,26,1195080,Low Confidence,724,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2175,Europe,Monthly,2579.28,2875.26,877.38,12050.74
6578cd8bbc6190354d98f98e,Sri Lanka,120,76,1617738,16,333508,28,589559,Very Low Confidence,144,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2159,Asia,Monthly,249.68,278.41,70.14,1239.11
6578cd8bbc6190354d98f98f,Palestine,145,101,501602,16,77910,28,137726,Very Low Confidence,275,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2240,Asia,Monthly,1510.0,1710.0,430.0,7620.0
6578cd8bbc6190354d98f990,Sudan,141,97,4162396,16,669608,28,1183703,Very Low Confidence,729,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2111,Africa,Monthly,67.61,74.53,18.8,331.92
6578cd8bbc6190354d98f991,Suriname,116,72,42112,16,9093,28,16075,Very Low Confidence,740,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2089,South America,Monthly,122.18,133.57,33.65,592.8
6578cd8bbc6190354d98f992,Sweden,112,81,812948,10,100364,21,205746,High Confidence,752,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2129,Europe,Monthly,3568.16,4144.56,1043.0,18389.75
6578cd8bbc6190354d98f993,Switzerland,125,72,615790,13,110067,40,343656,Low Confidence,756,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2253,Europe,Monthly,9836.07,11292.9,2850.27,50363.93
6578cd8bbc6190354d98f994,Syria,148,104,1771842,16,266980,28,471955,Very Low Confidence,760,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2241,Asia,Monthly,10.12,11.51,2.9,51.2
6578cd8bbc6190354d98f995,Tajikistan,141,97,906209,16,145783,28,257708,Very Low Confidence,762,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2025,Asia,Monthly,959.78,1069.47,269.65,4753.2
6578cd8bbc6190354d98f996,Thailand,123,79,5478532,16,1088960,28,1925014,Very Low Confidence,764,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2148,Asia,Monthly,2432.28,2662.11,670.31,11846.79
6578cd8bbc6190354d98f997,East Timor,130,86,111643,16,20224,28,35752,Very Low Confidence,626,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2149,Asia,Monthly,2030.0,2220.0,560.0,9860.0
6578cd8bbc6190354d98f998,Togo,147,103,830017,16,126411,28,223463,Very Low Confidence,768,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2222,Africa,Monthly,787.96,852.41,214.31,3786.72
6578cd8bbc6190354d98f999,Tonga,120,76,7912,16,1634,28,2889,Very Low Confidence,776,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2137,Oceania,Monthly,668.09,778.72,195.74,3459.57
6578cd8bbc6190354d98f99a,Trinidad and Tobago,113,74,103119,13,17872,26,35671,Low Confidence,780,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2090,Caribbean,Monthly,1258.11,1445.43,364.31,6430.68
6578cd8bbc6190354d98f99b,Tunisia,135,91,1064407,16,182908,28,323336,Very Low Confidence,788,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2112,Africa,Monthly,1088.33,1239.75,312.3,5520.5
6578cd8bbc6190354d98f99c,Turkey,137,93,7762575,16,1304858,28,2306668,Very Low Confidence,792,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2242,Asia,Monthly,254.1,286.13,72.08,1274.12
6578cd8bbc6190354d98f99d,Turkmenistan,120,76,449895,16,92936,28,164288,Very Low Confidence,795,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2026,Asia,Monthly,1342.86,1500.0,377.14,6657.14
6578cd8bbc6190354d98f99e,Turks and Caicos Islands,113,74,2824,13,489,26,977,Low Confidence,796,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2091,North America,Monthly,1350.0,1490.0,380.0,6640.0
6578cd8bbc6190354d98f99f,Tuvalu,120,76,878,16,181,28,321,Very Low Confidence,798,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2138,,,,,,
6578cd8bbc6190354d98f9a0,Uganda,147,103,4546237,16,692387,28,1223969,Very Low Confidence,800,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2223,Africa,Monthly,645.21,698.31,176.04,3106.55
6578cd8bbc6190354d98f9a1,Ukraine,120,76,3344904,16,688070,28,1216338,Very Low Confidence,804,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2044,Europe,Monthly,530.73,622.8,157.32,2761.98
6578cd8bbc6190354d98f9a2,United Arab Emirates,134,95,923625,13,125173,26,249836,Low Confidence,784,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2243,Asia,Monthly,3324.25,3896.46,708.45,18637.6
6578cd8bbc6190354d98f9a3,United Kingdom,98,77,5199825,4,283627,17,1114248,High Confidence,826,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2130,Europe,Monthly,6300.0,7235.37,1829.27,32214.63
6578cd8bbc6190354d98f9a4,Tanzania,163,119,6907649,16,907219,28,1603740,Very Low Confidence,834,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2224,Africa,Monthly,457.77,505.54,126.98,2245.08
6578cd8bbc6190354d98f9a5,United States,139,59,19359951,16,5151313,64,20934827,High Confidence,840,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2118,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0
6578cd8bbc6190354d98f9a6,Virgin Islands (US),113,74,7732,13,1340,26,2675,Low Confidence,850,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2092,North America,Monthly,2380.0,2710.0,680.0,12000.0
6578cd8bbc6190354d98f9a7,Uruguay,113,74,255892,13,44349,26,88517,Low Confidence,858,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2093,South America,Monthly,773.64,862.2,217.24,3829.12
6578cd8bbc6190354d98f9a8,Uzbekistan,135,91,3001868,16,515841,28,911881,Very Low Confidence,860,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2027,Asia,Monthly,97.25,106.98,27.07,477.35
6578cd8bbc6190354d98f9a9,Vanuatu,135,91,27296,16,4691,28,8292,Very Low Confidence,548,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2099,Oceania,Monthly,750.74,821.77,207.3,3650.48
6578cd8bbc6190354d98f9aa,Venezuela,116,72,2065461,16,445994,28,788407,Very Low Confidence,862,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2094,South America,Monthly,3282.02,3862.91,972.99,17165.26
6578cd8bbc6190354d98f9ab,Vietnam,120,76,7346717,16,1508689,28,2666991,Very Low Confidence,704,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2150,Asia,Monthly,612.57,711.24,179.25,3161.52
6578cd8bbc6190354d98f9ac,Yemen,148,104,3026946,16,456099,28,806270,Very Low Confidence,887,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2244,Asia,Monthly,120.98,133.36,33.62,594.93
6578cd8bbc6190354d98f9ad,Zambia,122,78,1391729,16,279350,28,493822,Very Low Confidence,894,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2225,Africa,Monthly,0.26133504,0.28552394,0.072092424,1.2711033
6578cd8bbc6190354d98f9ae,Zimbabwe,144,100,1458564,16,229059,28,404920,Very Low Confidence,716,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2226,Africa,Monthly,555.40204,602.37635,151.42305,2674.772
